point_id,latitude,longitude,orders_per_day,price_per_sqft,traffic_index
p593,13.023068,77.578153,2046,11391,0.816
p594,13.023195,77.5296,864,6702,0.98
p595,13.023217,77.512632,606,6091,0.8442
p596,13.023369,77.609373,2040,10585,0.6081
p597,13.023476,77.65313,1782,7725,0.8096
p598,13.023586,77.661138,1692,7339,0.6033
p599,13.023603,77.724121,1026,6608,0.1603
p600,13.024023,77.506395,510,6376,0.7849
p601,13.024129,77.666871,1692,7487,0.5069
p602,13.024417,77.627057,1818,9230,0.6376
p603,13.024506,77.621047,1908,9255,0.5613
p604,13.02467,77.553814,1326,12030,0.98
p605,13.024884,77.633743,1764,8837,0.7698
p606,13.024946,77.682593,2274,7308,0.3417
p607,13.027901,77.507411,474,6449,0.8723
p608,13.02793,77.593961,1950,10505,0.98
p609,13.027942,77.711942,2214,6317,0.1707
p610,13.029362,77.556945,1272,9906,0.98
p611,13.02951,77.563438,1446,9331,0.98
p612,13.029602,77.5687,1608,10502,0.98
p613,13.029639,77.602981,1902,13172,0.98
p614,13.029665,77.64601,1554,9579,0.8665
p615,13.030112,77.653875,1554,7360,0.6908
p616,13.030113,77.530058,696,7009,0.98
p617,13.030495,77.628921,1626,9392,0.8521
p618,13.030943,77.53988,828,9038,0.98
p619,13.031002,77.724774,1278,7084,0.1525
p620,13.03122,77.491683,312,9862,0.8097
p621,13.031317,77.719241,1734,6728,0.1551
p622,13.031578,77.61436,1776,10140,0.8909
p623,13.031654,77.578701,1860,10709,0.9719
p624,13.031872,77.588358,1968,12650,0.98
p625,13.031876,77.667654,1398,7540,0.3187
p626,13.032285,77.620926,1740,9411,0.8663
p627,13.032299,77.525729,594,6523,0.9199
p628,13.0325,77.659462,1452,7281,0.4953
p629,13.032823,77.63651,1500,10149,0.9121
p630,13.033317,77.495774,336,9745,0.8768
p631,13.035888,77.541551,726,8611,0.8747
p632,13.036127,77.563517,1212,9139,0.98
p633,13.036532,77.610012,1728,11826,0.98
p634,13.036677,77.500708,348,9262,0.8953
p635,13.036957,77.594534,1836,15799,0.98
p636,13.037036,77.635451,1398,10049,0.9222
p637,13.037253,77.658169,1278,7662,0.4525
p638,13.037417,77.617352,1686,11109,0.98
p639,13.037671,77.642368,1266,9936,0.8418
p640,13.037675,77.603566,1758,14862,0.98
p641,13.03838,77.674703,1188,8159,0.1911
p642,13.03914,77.578535,1620,10679,0.8955
p643,13.039397,77.62828,1446,10691,0.98
p644,13.039601,77.570437,1326,10103,0.8923
p645,13.039702,77.512718,390,6898,0.7589
p646,13.039761,77.547735,726,8397,0.7931
p647,13.039859,77.651271,1134,8742,0.5957
p648,13.039912,77.531127,522,7956,0.6823
p649,13.039973,77.52267,450,6911,0.6696
p650,13.040527,77.509184,366,7491,0.7734
p651,13.040923,77.586684,1770,12289,0.9754
p652,13.041102,77.483718,222,10931,0.899
p653,13.044137,77.49846,288,10749,0.7909
p654,13.04436,77.658382,1008,8568,0.3478
p655,13.044407,77.622543,1440,11422,0.98
p656,13.044549,77.532801,474,8311,0.5186
p657,13.044933,77.516319,366,7399,0.5573
p658,13.044964,77.655085,978,8872,0.4085
p659,13.045304,77.612922,1542,11407,0.98
p660,13.045958,77.50648,312,9076,0.6476
p661,13.046113,77.676768,984,8667,0.1634
p662,13.046141,77.578697,1392,9919,0.6665
p663,13.046309,77.564085,912,9507,0.6764
p664,13.046986,77.554738,672,8708,0.5747
p665,13.047072,77.574187,1176,9849,0.6226
p666,13.047112,77.646226,942,9965,0.5329
p667,13.047221,77.628124,1296,11222,0.9025
p668,13.047323,77.63609,1128,10909,0.7097
p669,13.047392,77.520787,366,7689,0.4331
p670,13.047647,77.548858,564,8404,0.486
p671,13.047708,77.682578,942,8766,0.1537
p672,13.048412,77.595433,1644,11330,0.781
p673,13.048429,77.604152,1614,11866,0.8819
p674,13.048483,77.538113,444,8427,0.404
p675,13.04858,77.588216,1590,9677,0.6723
p676,13.048581,77.670239,900,8804,0.1808
p677,13.052154,77.564655,756,9405,0.4488
p678,13.052826,77.552872,528,8637,0.3549
p679,13.053084,77.612053,1422,11181,0.7687
p680,13.05408,77.626418,1140,11374,0.7013
p681,13.054235,77.506028,270,9580,0.4093
p682,13.054246,77.533407,360,8424,0.2691
p683,13.054301,77.497569,240,10653,0.5025
p684,13.054651,77.597438,1488,10869,0.5141
p685,13.054758,77.521132,306,8273,0.2711
p686,13.054825,77.571141,834,9454,0.3644
p687,13.055156,77.515721,288,8452,0.3018
p688,13.055162,77.659846,630,9586,0.2134
p689,13.055195,77.619817,1236,11263,0.7392
p690,13.055492,77.603479,1464,11224,0.5475
p691,13.055493,77.636742,918,11300,0.4486
p692,13.055707,77.587223,1242,9030,0.3884
p693,13.056828,77.53714,354,8399,0.2325
p694,13.056866,77.642907,774,10918,0.3335
p695,13.05768,77.577245,906,9382,0.3005
p696,13.057721,77.548164,408,8321,0.2354
p697,13.060644,77.593788,1212,11507,0.303
p698,13.060916,77.529758,288,8326,0.1905
p699,13.061115,77.660026,498,9912,0.1776
p700,13.061361,77.637629,774,11196,0.3026
p701,13.061646,77.572638,696,9392,0.2283
p702,13.062122,77.645207,636,10748,0.2323
p703,13.062661,77.62898,930,11335,0.3727
p704,13.062698,77.565145,564,8839,0.21
p705,13.062914,77.581297,828,9402,0.2241
p706,13.062977,77.614799,1230,10681,0.4049
p707,13.06352,77.553322,396,7302,0.1853
p708,13.063705,77.505491,216,9445,0.2348
p709,13.064449,77.650323,540,10429,0.1892
p710,13.064533,77.618614,1122,11076,0.3748
p711,13.064993,77.52164,234,8468,0.1742
p712,13.065029,77.536346,282,7851,0.169
p713,13.065053,77.586809,876,9976,0.2106
p714,13.06546,77.601939,1200,11616,0.2604
p715,13.068786,77.517286,210,8625,0.1666
p716,13.069183,77.617685,1104,9536,0.2682
p717,13.06936,77.503999,186,9364,0.1889
p718,13.069509,77.497371,174,9731,0.2084
p719,13.069701,77.579413,636,9484,0.1709
p720,13.070151,77.633806,732,10837,0.212
p721,13.070686,77.606187,1068,11496,0.211
p722,13.071475,77.566049,456,7696,0.1598
p723,13.071987,77.557567,360,6308,0.1564
p724,13.071988,77.524802,210,8198,0.1547
p725,13.07228,77.536945,240,7173,0.1539
p726,13.07263,77.610999,1044,10858,0.2067
p727,13.072671,77.627535,840,10483,0.2097
p728,13.073121,77.545102,270,6425,0.1533
p729,13.073345,77.572609,510,8956,0.1578
p730,13.073573,77.588487,696,10532,0.1633
p731,13.076608,77.626035,870,10239,0.1818
p732,13.076683,77.621732,960,9977,0.1843
p733,13.076821,77.506471,162,9040,0.1581
p734,13.076846,77.556053,324,6208,0.1518
p735,13.077366,77.520288,180,8366,0.1521
p736,13.07746,77.572746,462,8598,0.153
p737,13.07811,77.595992,708,11010,0.1585
p738,13.078964,77.64541,444,10101,0.1544
p739,13.079727,77.579539,498,9125,0.1522
p740,13.079941,77.546402,252,6308,0.1505
p741,13.080311,77.541348,228,6580,0.1505
p742,13.080941,77.637249,612,10164,0.1569
p743,13.081095,77.603613,726,10829,0.1575
p744,13.082011,77.609375,768,10618,0.1589
p745,13.084491,77.610501,714,10426,0.1555
p746,13.08497,77.53186,186,7473,0.1501
p747,13.085008,77.627417,804,10304,0.1554
p748,13.085131,77.620271,786,10418,0.156
p749,13.085486,77.587699,510,8955,0.1508
p750,13.085708,77.645933,426,10051,0.1509
p751,13.086801,77.573984,396,8010,0.1503
p752,13.087927,77.576978,414,7918,0.1502
p753,13.088093,77.563531,330,7121,0.1501
p754,13.088391,77.553634,264,6523,0.1501
p755,13.088781,77.636525,630,10079,0.1512
p756,13.088902,77.603037,558,10249,0.1512
p757,13.089043,77.548745,240,6599,0.15
p758,13.089494,77.538625,198,7103,0.15
p759,13.089853,77.596521,522,9472,0.1505
p760,13.093529,77.566066,330,7671,0.15
p761,13.093964,77.611021,516,10063,0.1505
p762,13.095818,77.633494,612,10093,0.1502
p763,13.095851,77.622322,546,10131,0.1504
p764,13.09592,77.62621,576,10136,0.1503
p765,13.097311,77.594548,456,8499,0.1501
p766,13.098123,77.641792,534,10055,0.1501
p767,13.09821,77.588219,432,7810,0.15
p768,13.101024,77.603022,438,8618,0.15
p769,13.101361,77.62129,444,9885,0.1501
p770,13.102665,77.586381,396,7719,0.15
p771,13.103422,77.612151,402,9292,0.15
p772,13.104511,77.628386,420,9920,0.15
p773,13.104522,77.594536,402,8492,0.15
p774,13.104889,77.578043,354,7582,0.15
p775,13.10599,77.563854,276,7924,0.15
p776,13.108962,77.570462,294,7863,0.15
p777,13.109811,77.563754,264,8013,0.15
p778,13.110475,77.598184,366,8532,0.15
p779,13.110643,77.637465,372,9837,0.15
p780,13.110715,77.578879,330,7847,0.15
p781,13.111059,77.603897,366,8675,0.15
p782,13.111826,77.585787,342,8113,0.15
p783,13.112952,77.630897,306,9669,0.15
p784,13.117017,77.633479,276,9541,0.15
p785,13.117104,77.61385,312,9018,0.15
p786,13.117641,77.59402,336,8484,0.15
p787,13.11903,77.604205,318,8705,0.15
p788,13.119187,77.57385,276,8123,0.15
p789,13.119215,77.579916,294,8174,0.15
p790,13.120036,77.627993,264,9242,0.15
p791,13.120892,77.589147,312,8378,0.15
p792,13.121597,77.618988,276,8918,0.15
p793,13.125398,77.597608,294,8463,0.15
p794,13.125611,77.587476,288,8293,0.15
p795,13.126732,77.611221,270,8425,0.15
p796,13.127945,77.571682,246,7942,0.15
p797,13.12809,77.581053,270,8083,0.15
p798,13.130201,77.603784,270,8188,0.15
p799,13.133836,77.572987,228,7687,0.15
p800,13.137061,77.579924,228,7667,0.15
