point_id,latitude,longitude,traffic_index
p784,13.117017,77.633479,0.15
p785,13.117104,77.61385,0.15
p786,13.117641,77.59402,0.15
p787,13.11903,77.604205,0.15
p788,13.119187,77.57385,0.15
p789,13.119215,77.579916,0.15
p790,13.120036,77.627993,0.15
p791,13.120892,77.589147,0.15
p792,13.121597,77.618988,0.15
p793,13.125398,77.597608,0.15
p794,13.125611,77.587476,0.15
p795,13.126732,77.611221,0.15
p796,13.127945,77.571682,0.15
p797,13.12809,77.581053,0.15
p798,13.130201,77.603784,0.15
p799,13.133836,77.572987,0.15
p800,13.137061,77.579924,0.15
